NOC,1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
SKN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-0.972299355,1.070877013,8.711296582,11.31483413,7.25118055,-2.490218992,5.610956374,5.324551483,-26.80000429
TUV,..,..,3.609164985,2.788866584,4.110691014,10.28348701,-5.004437317,-5.961361169,10.00322432,15.50121998,-1.563791371,-0.970599814,1.634107644,7.886174359,-3.333536533,-1.352181114,-3.779729962,2.138938329,6.350564875,7.983260905,-4.432851394,-2.729427912,7.515954206,-3.835748821,4.576823704,1.348012682,9.142893933,3.034723153,4.094017717,2.5,9.756097561,4.4
UGA,6.361941247,6.474140151,5.554095496,3.418356891,8.326292521,6.403635743,11.52324381,9.072114582,5.100001863,4.905265484,8.053948377,3.141907338,5.183661126,8.732685764,6.473258672,6.807233344,6.332565116,10.78474439,8.412425965,8.708751901,6.801517348,5.637611638,9.391655493,3.837455606,3.586905826,5.106307324,5.187859863,4.781000291,3.809129029,6.162619139,6.803326813,2.857581274
UKR,3.873103211,-6.345235128,-8.410643889,-9.69899858,-14.22610688,-22.93404554,-12.20000002,-9.999999975,-3.000000027,-1.899999983,-0.199999995,5.899999999,9.203694816,5.24934062,9.515923065,12.10876949,2.997300112,7.439917934,7.593520408,2.304024911,-14.75856217,3.834392505,5.465501846,0.238681721,-0.02669789,-6.552631294,-9.772960791,2.235067619,2.466035625,3.405295518,3.221483145,-4.020317714
UAE,12.33789128,18.32798553,0.860081946,3.344944862,1.261190951,6.896148551,6.687886464,5.798404061,8.190398641,0.291994349,2.902213645,10.85270421,1.39908503,2.43345681,8.800540815,9.566436637,4.855141196,9.837319773,3.184390174,3.191836276,-5.242921907,1.602809961,6.930271629,4.484626085,5.053345825,4.284303686,5.105936984,3.060964308,2.37353671,1.189855638,1.677720373,..
GBR,2.577602729,0.733755503,-1.103121655,0.401082104,2.48983093,3.846009131,2.531670077,2.491610855,4.975295008,3.707771046,3.29520162,3.506217426,2.730335651,2.178744368,3.321881725,2.286278175,2.955691743,2.693800367,2.360575861,-0.278780161,-4.113949331,2.074050953,1.275708411,1.430396029,2.186113352,2.862728671,2.363069511,1.722385904,1.740309443,1.252590613,1.370814722,-9.790240362
USA,3.67265633,1.885960325,-0.108259111,3.522442502,2.752844325,4.028839066,2.684287126,3.772501321,4.44721634,4.481407561,4.753235983,4.127484017,0.998340792,1.741695251,2.861210768,3.798891125,3.513213799,2.854972294,1.876171454,-0.136579803,-2.536757067,2.56376656,1.550835505,2.249545852,1.842081071,2.525973446,3.07551465,1.711426774,2.332679395,2.996464352,2.161176515,-3.486139557
UMC,2.409618384,1.018209887,0.274594783,-0.20011951,3.34788521,2.697311832,3.174267803,4.685715885,5.247264364,2.414890151,3.224106209,6.296424988,3.20870125,4.509730317,5.32683584,7.922897167,7.165537304,8.30129962,8.980364015,6.122451336,1.657419403,7.873096804,6.455090149,5.535019908,5.253414875,4.278185764,3.637468792,3.675173209,4.868016102,4.548484206,3.77497248,-1.138043812
URU,1.103901025,0.297348378,3.538808504,7.931588414,2.657546107,7.281342644,-1.447598969,5.577957764,8.547683201,4.518890097,-1.939212154,-1.929930638,-3.844129949,-7.732007206,0.805283915,5.004160334,7.460132138,4.098577364,6.541510842,7.176144668,4.243494175,7.803409666,5.162133029,3.538178707,4.637538641,3.238791217,0.370741265,1.689798164,1.627753973,0.477907184,0.350447153,-5.858721243
UZB,3.091293973,1.600000006,-0.492000004,-11.2,-2.300000006,-5.199999992,-0.900000006,1.700000004,5.199999997,4.3,4.300000003,3.834999999,4.16383825,3.973488192,4.232627382,7.449000605,6.950007197,7.451418476,9.473005305,9.029161017,8.050933328,7.597167961,7.784905864,7.375687986,7.584537849,7.17939955,7.447705075,6.094210239,4.46152609,5.446444862,5.79837496,1.647797102
VAN,1.531893521,11.6956998,3.14763848,2.585413728,0.735447995,9.081466093,1.003945041,2.327335416,4.906812678,1.176854361,0.337293222,5.924809057,-3.397582489,-5.198318759,4.288335117,3.987392802,5.305326473,8.465159865,2.871659844,5.602991462,3.037246028,1.260681797,3.137874086,1.010029914,0.468608459,3.12624625,0.371578452,4.688677823,6.315604199,2.900230273,3.264589732,-9.235328461
VEN,-8.569882013,6.467940853,9.729887977,6.060473262,0.275388158,-2.349507928,3.951662724,-0.197837257,6.370931401,0.294055161,-5.970458146,3.686944167,3.394236108,-8.855647353,-7.75530005,18.28660669,10.3179138,9.872149109,8.753578808,5.277854124,-3.202302657,-1.488791251,4.176425359,5.625956975,1.343094036,-3.894386475,..,..,..,..,..,..
VIE,7.364512893,5.10091814,5.960843932,8.64604746,8.072730657,8.838980952,9.540480175,9.340017496,8.152084143,5.764455464,4.773586881,6.787316408,6.192893312,6.320820988,6.899063492,7.536410612,7.547247727,6.977954812,7.129504484,5.661771208,5.397897543,6.423238217,6.240302749,5.247367156,5.421882991,5.983654637,6.679288789,6.210811668,6.81224566,7.075788617,7.017434882,2.905835584
ISV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-0.334104343,2.939659618,3.632264529,3.625815809,4.03545603,0.941704036,-6.64149267,0.904116108,-8.158453195,-15.01925546,-5.83081571,-0.866217517,0.258899676,1.129761136,-0.606447494,1.509312781,..,..
PSE,..,..,..,..,..,..,7.118511824,1.215150773,14.66722516,14.33420348,8.280429404,-8.556183291,-9.310638168,-12.48919176,14.01586549,21.92523949,11.29065118,-0.996556103,3.788281521,7.429182255,8.593490879,5.777362056,9.600808489,6.096456563,4.698569866,-0.157866651,3.721299671,8.86461882,1.419367563,1.227077378,1.362687466,-11.45745151
WLD,3.726664517,2.978322308,1.508461234,1.776938622,1.492362483,2.946775756,3.020666633,3.430991951,3.707802777,2.560054877,3.245240312,4.425403056,1.95300111,2.168781675,2.950230924,4.407677887,3.899393075,4.367086833,4.319245172,1.858891084,-1.666425827,4.3103797,3.126799817,2.519738704,2.671507044,2.87422163,2.919034066,2.605572193,3.281328692,3.034060744,2.33555814,-3.593456238
YEM,..,..,6.29349386,8.207598137,4.001966381,6.721949122,5.669371322,4.634967317,5.23111204,6.006694599,3.775530496,6.181915593,3.803645872,3.935231505,3.747398185,3.972696401,5.591748076,3.170409359,3.338427956,3.64756947,3.866229516,7.70230704,-12.71482302,2.392885682,4.823414981,-0.188573712,-27.99454625,-9.375123818,-5.071795639,0.75244741,..,..
ZAM,-1.023501789,-0.481072028,-0.036133384,-1.730922174,6.797274049,-8.625441952,2.897668893,6.218546489,3.814007497,-0.385746146,4.650189746,3.897322943,5.316868274,4.50601428,6.944973982,7.032395115,7.235599007,7.903694445,8.352436244,7.773895815,9.220348406,10.29822332,5.564602337,7.597593211,5.05723174,4.697992363,2.920375112,3.776679146,3.504336096,4.034378235,1.441784548,-3.016188903
ZIM,5.199766444,6.988552933,5.531782396,-9.015570086,1.051458626,9.235198861,0.158025651,10.36069677,2.680594174,2.885211806,-0.817821016,-3.059189762,1.439615384,-8.894023633,-16.99507469,-5.807538055,-5.71108368,-3.461495192,-3.653326859,-17.66894629,12.01955993,19.67532314,14.19391296,16.66542877,1.989492762,2.376929327,1.779872703,0.755869251,4.699399849,3.497159535,-8.1,-8
